Underlying,Symbol
THE FEDERAL BANKÂ LIMITED,FEDERALBNK
GAIL (INDIA) LIMITED,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
GMR INFRASTRUCTURE LIMITED,GMRINFRA
GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP
GODREJ PROPERTIES LIMITED,GODREJPROP
GRASIM INDUSTRIES LIMITED,GRASIM
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LIMITED,HCLTECH
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC
HDFC BANK LIMITED,HDFCBANK
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
HERO MOTOCORP LIMITED,HEROMOTOCO
HINDALCO INDUSTRIES LIMITED,HINDALCO
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
HINDUSTAN UNILEVER LIMITED,HINDUNILVR
INDIABULLS HOUSING FINANCE LIMITED,IBULHSGFIN
ICICI BANK LIMITED,ICICIBANK
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
VODAFONE IDEA LIMITED,IDEA
IDFC FIRST BANK LIMITED,IDFCFIRSTB
INDRAPRASTHA GAS LIMITED,IGL
INTERGLOBE AVIATION LIMITED,INDIGO
INDUSIND BANK LIMITED,INDUSINDBK
BHARTI INFRATEL LIMITED,INFRATEL
INFOSYS LIMITED,INFY
INDIAN OIL CORPORATION LIMITED,IOC
ITC LIMITED,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD
JUST DIAL LIMITED,JUSTDIAL
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
L&T FINANCE HOLDINGS LIMITED,L&TFH
LIC HOUSING FINANCE LIMITED,LICHSGFIN
LARSEN & TOUBRO LIMITED,LT
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LIMITED,M&M
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
MANAPPURAM FINANCE LIMITED,MANAPPURAM
MARICO LIMITED,MARICO
MARUTI SUZUKI INDIA LIMITED,MARUTI
UNITED SPIRITS LIMITED,MCDOWELL-N
MAX FINANCIAL SERVICES LIMITED,MFSL
MAHANAGAR GAS LIMITED,MGL
MINDTREE LIMITED,MINDTREE
MOTHERSON SUMI SYSTEMS LIMITED,MOTHERSUMI
MRF LIMITED,MRF
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
INFO EDGE (INDIA) LIMITED,NAUKRI
NCC LIMITED,NCC
NESTLE INDIA LIMITED,NESTLEIND
NIIT TECHNOLOGIES LIMITED,NIITTECH
NMDC LIMITED,NMDC
NTPC LIMITED,NTPC
OIL INDIA LIMITED,OIL
OIL & NATURAL GAS CORPORATION LIMITED,ONGC
PAGE INDUSTRIES LIMITED,PAGEIND
PIRAMAL ENTERPRISES LIMITED,PEL
PETRONET LNG LIMITED,PETRONET
POWER FINANCE CORPORATION LIMITED,PFC
PIDILITE INDUSTRIES LIMITED,PIDILITIND
PUNJAB NATIONAL BANK,PNB
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
PVR LIMITED,PVR
THE RAMCO CEMENTS LIMITED,RAMCOCEM
RBL BANK LIMITED,RBLBANK
REC LIMITED,RECLTD
RELIANCE INDUSTRIES LIMITED,RELIANCE
STEEL AUTHORITY OF INDIA LIMITED,SAIL
STATE BANK OF INDIA,SBIN
SHREE CEMENT LIMITED,SHREECEM
SIEMENS LIMITED,SIEMENS
SRF LIMITED,SRF
SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
TATA CHEMICALS LIMITED,TATACHEM
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER COMPANY LIMITED,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TATA CONSULTANCY SERVICES LIMITED,TCS
TECH MAHINDRA LIMITED,TECHM
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
TORRENT POWER LIMITED,TORNTPOWER
TVS MOTOR COMPANY LIMITED,TVSMOTOR
UNITED BREWERIES LIMITED,UBL
UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
VOLTAS LIMITED,VOLTAS
WIPRO LIMITED,WIPRO
YES BANK LIMITED,YESBANK
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
